Rank,Anglex,Angley,Anglez,Transi,Transj,Transk,total,rPSC,rPSC_gain,rPSC_penalty,ELEC ,RecACE,LCARMSD,NearNat
129, -1.570796,2.863997,0.549740,9,112,95,3366.070557,3440.000000,4430.000000,-990.000000,-249.276917,175.347336,13.295105,0
130, -0.261799,0.906588,1.252948,114,119,96,3360.058350,3307.000000,4252.000000,-945.000000,-41.731812,94.790375,31.300566,0
131, 2.356194,2.637879,2.121598,14,117,97,3358.644043,3003.000000,4128.000000,-1125.000000,73.502930,282.141022,9.955349,0
132, 0.000000,0.571433,-1.188419,15,113,102,3356.079834,3209.000000,6314.000000,-3105.000000,168.140717,-21.060791,13.995441,0
133, -1.832596,1.214854,-1.966664,3,9,92,3353.609375,3017.000000,5627.000000,-2610.000000,196.061951,140.547333,26.360994,0
134, -2.879793,1.247695,1.809890,1,117,99,3353.343506,3080.000000,4970.000000,-1890.000000,107.250916,166.092590,23.987343,0
135, 0.000000,0.992645,-1.723759,11,111,98,3352.998047,2805.000000,3705.000000,-900.000000,425.096283,122.901764,13.328055,0
136, 1.047198,1.450119,-2.739050,114,14,110,3352.164307,2885.000000,3875.000000,-990.000000,519.574036,-52.409637,44.610180,0
137, 0.261799,0.866395,-2.492918,112,108,100,3348.223389,3134.000000,4349.000000,-1215.000000,67.522095,146.701340,35.069614,0
138, -0.261799,1.134497,-1.109631,15,112,101,3348.167969,3040.000000,4615.000000,-1575.000000,380.320557,-72.152557,13.072278,0
139, -2.094395,1.214854,-1.966664,3,9,92,3346.239014,3050.000000,5615.000000,-2565.000000,110.259583,185.979599,26.360994,0
140, 2.617994,2.041297,-2.664597,8,114,94,3344.355713,3083.000000,3623.000000,-540.000000,8.511353,252.844559,13.829353,0
141, 1.832596,0.496451,0.593859,1,119,98,3340.253174,3098.000000,4088.000000,-990.000000,97.739227,144.513824,24.009018,0
142, 1.047198,1.214854,-1.966664,3,119,91,3336.883545,2918.000000,4493.000000,-1575.000000,119.147751,299.735840,20.258091,0
143, -1.832596,1.721184,-0.153948,11,108,103,3336.442139,2901.000000,4251.000000,-1350.000000,90.713135,344.729034,18.767178,0
144, -1.570796,1.606104,-0.451151,13,110,100,3332.603271,2882.000000,3692.000000,-810.000000,90.695755,359.907532,13.855059,0
145, -1.308997,2.579248,-2.364801,5,117,93,3331.513916,3012.000000,4317.000000,-1305.000000,8.827545,310.686340,17.482553,0
146, 2.356194,2.984978,1.954446,12,115,96,3330.926025,3405.000000,4350.000000,-945.000000,-80.692017,6.617920,10.424350,0
147, -0.261799,2.455966,-0.641220,110,111,97,3330.206055,3350.000000,4250.000000,-900.000000,-162.139038,142.345245,35.896973,0
148, 1.570796,1.135834,-1.431087,7,6,91,3329.615723,3270.000000,5070.000000,-1800.000000,28.207626,31.408142,20.381334,0
149, -1.308997,0.992645,-1.723759,108,0,93,3328.101318,2925.000000,3915.000000,-990.000000,136.973724,266.127625,38.119972,0
150, -0.261799,2.456751,-1.503343,112,109,98,3326.951660,2931.000000,4956.000000,-2025.000000,173.538025,222.413574,34.183186,0
151, 0.000000,0.619654,-2.216909,112,109,99,3326.751465,2973.000000,3783.000000,-810.000000,125.639893,228.111649,34.490601,0
152, 1.832596,0.290380,-0.796960,17,3,100,3322.777588,3140.000000,4445.000000,-1305.000000,-46.579407,229.356857,15.223249,0
153, 1.047198,0.899350,-2.069907,15,115,98,3318.820801,3211.000000,4111.000000,-900.000000,-107.132019,214.952896,9.657010,0
154, 0.785398,1.374601,-2.456031,0,109,95,3317.346436,3189.000000,4629.000000,-1440.000000,23.590759,104.755676,24.260845,0
155, 0.261799,1.909857,-0.381669,2,111,94,3314.634277,3015.000000,4545.000000,-1530.000000,113.101074,186.533218,21.222818,0
156, -0.785398,1.998705,2.370472,111,18,115,3312.158203,2777.000000,4937.000000,-2160.000000,295.449463,239.708801,52.719276,0
157, 0.785398,0.685216,-1.712745,16,117,99,3308.775635,2949.000000,4794.000000,-1845.000000,161.443298,198.332230,10.697222,0
158, -1.832596,1.606104,-0.451151,11,109,100,3306.135254,2809.000000,3844.000000,-1035.000000,88.642059,408.493103,15.705678,0
159, -1.308997,0.418037,1.360082,116,4,98,3305.312988,2977.000000,5137.000000,-2160.000000,-72.731384,401.044434,31.302820,0
160, 1.308997,1.440580,2.260026,8,114,98,3304.639160,2930.000000,5270.000000,-2340.000000,105.796051,268.842896,15.712971,0
161, -1.308997,2.299159,2.264663,113,19,116,3303.457764,2918.000000,4313.000000,-1395.000000,197.446350,188.011383,52.564320,0
162, 0.785398,2.115563,0.685730,12,116,95,3303.213867,2724.000000,4749.000000,-2025.000000,249.581482,329.632355,10.003572,0
163, 1.308997,2.456751,-1.503343,119,113,91,3300.290527,2864.000000,4169.000000,-1305.000000,25.538239,410.752075,24.244940,0
164, 2.879793,0.458961,-0.107937,8,119,100,3299.402588,3265.000000,4300.000000,-1035.000000,48.980103,-14.577301,18.049404,0
165, 2.094395,2.724429,-0.348782,112,18,110,3299.216797,3204.000000,7389.000000,-4185.000000,-44.821838,140.038574,48.912926,0
166, 0.523599,2.579248,-2.364801,3,113,93,3296.087402,3010.000000,4720.000000,-1710.000000,-3.795044,289.882324,19.577469,0
167, 0.523599,1.135834,-1.431087,15,2,95,3295.914307,2997.000000,3717.000000,-720.000000,135.239349,163.675110,11.610985,0
168, -1.570796,2.063651,-2.044600,8,9,91,3293.894775,2994.000000,3984.000000,-990.000000,47.229645,252.665115,22.295650,0
169, 2.356194,2.979456,-1.009304,118,113,92,3293.407959,2819.000000,4349.000000,-1530.000000,90.243805,384.164032,25.461727,0
170, -2.094395,1.872854,1.543456,14,1,107,3291.259521,3267.000000,5157.000000,-1890.000000,-103.329529,127.589020,21.606697,0
171, 0.000000,2.001437,0.381215,14,111,98,3290.188721,2911.000000,4306.000000,-1395.000000,120.005127,259.183502,10.954661,0
172, 1.832596,0.733948,3.021411,3,11,101,3290.230957,3554.000000,6209.000000,-2655.000000,-97.215454,-166.553711,30.402937,0
173, -2.617994,0.591903,2.010408,114,6,98,3289.305664,2985.000000,4515.000000,-1530.000000,40.670959,263.634766,34.373848,0
174, -0.523599,1.433411,-1.035986,14,117,97,3288.698975,3108.000000,5628.000000,-2520.000000,193.721649,-13.022644,9.955349,0
175, -0.261799,0.685216,-1.712745,117,109,96,3286.387939,3001.000000,3676.000000,-675.000000,81.315308,204.072449,27.922264,0
176, -2.094395,1.440580,2.260026,6,0,99,3285.933594,3018.000000,4818.000000,-1800.000000,154.411987,113.521454,19.679596,0
